区分,品名,メーカー名
内用薬,ブロモバレリル尿素,
内用薬,ブロバリン原末,日本新薬
内用薬,ブロムワレリル尿素「ＪＧ」,日本ジェネリック
内用薬,抱水クロラール,
内用薬,ユーロジン散１％,武田テバ薬品
内用薬,エスタゾラム１ｍｇ錠,
内用薬,ユーロジン１ｍｇ錠,武田テバ薬品
内用薬,エスタゾラム２ｍｇ錠,
内用薬,ユーロジン２ｍｇ錠,武田テバ薬品
内用薬,ダルメートカプセル１５,共和薬品工業
内用薬,ネルボン散１％,アルフレッサファーマ
内用薬,ベンザリン細粒１％,共和薬品工業
内用薬,ニトラゼパム細粒１％「ＴＣＫ」,辰巳化学
内用薬,ベンザリン錠２,共和薬品工業
内用薬,ベンザリン錠５,共和薬品工業
内用薬,ネルボン錠５ｍｇ,アルフレッサファーマ
内用薬,ニトラゼパム錠５ｍｇ「トーワ」,東和薬品
内用薬,ニトラゼパム錠５ｍｇ「ＪＧ」,日本ジェネリック
内用薬,ニトラゼパム錠５ｍｇ「ツルハラ」,鶴原製薬
内用薬,ニトラゼパム錠５ｍｇ「イセイ」,コーアイセイ
内用薬,ニトラゼパム錠５ｍｇ「テバ」,武田テバファーマ
内用薬,ニトラゼパム錠５ｍｇ「ＴＣＫ」,辰巳化学
内用薬,ネルボン錠１０ｍｇ,アルフレッサファーマ
内用薬,ベンザリン錠１０,共和薬品工業
内用薬,ニトラゼパム錠１０ｍｇ「ＪＧ」,日本ジェネリック
内用薬,ニトラゼパム錠１０ｍｇ「ツルハラ」,鶴原製薬
内用薬,ニトラゼパム錠１０ｍｇ「ＴＣＫ」,辰巳化学
内用薬,ソメリン細粒１％,アルフレッサファーマ
内用薬,ソメリン錠５ｍｇ,アルフレッサファーマ
内用薬,ソメリン錠１０ｍｇ,アルフレッサファーマ
内用薬,トリアゾラム０．１２５ｍｇ錠,
内用薬,ハルシオン０．１２５ｍｇ錠,ファイザー
内用薬,トリアゾラム０．２５ｍｇ錠,
内用薬,ハルシオン０．２５ｍｇ錠,ファイザー
内用薬,フルニトラゼパム１ｍｇ錠,
内用薬,サイレース錠１ｍｇ,エーザイ
内用薬,フルニトラゼパム２ｍｇ錠,
内用薬,サイレース錠２ｍｇ,エーザイ
内用薬,ブロチゾラム０．２５ｍｇ錠,
内用薬,レンドルミン錠０．２５ｍｇ,日本ベーリンガーインゲルハイム
内用薬,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,
内用薬,レンドルミンＤ錠０．２５ｍｇ,日本ベーリンガーインゲルハイム
内用薬,エバミール錠１．０,バイエル薬品
内用薬,ロラメット錠１．０,あすか製薬
内用薬,セレナール散１０％,アルフレッサファーマ
内用薬,セレナール錠５,アルフレッサファーマ
内用薬,セレナール錠１０,アルフレッサファーマ
内用薬,セパゾン散１％,アルフレッサファーマ
内用薬,セパゾン錠１,アルフレッサファーマ
内用薬,セパゾン錠２,アルフレッサファーマ
内用薬,メンドンカプセル７．５ｍｇ,マイランＥＰＤ
内用薬,セルシン散１％,武田テバ薬品
内用薬,ジアゼパム散１％「アメル」,共和薬品工業
内用薬,ホリゾン散１％,丸石製薬
内用薬,ジアゼパム錠２「サワイ」,沢井製薬
内用薬,ジアゼパム錠２「トーワ」,東和薬品
内用薬,ジアパックス錠２ｍｇ,大鵬薬品工業
内用薬,２ｍｇセルシン錠,武田テバ薬品
内用薬,ホリゾン錠２ｍｇ,丸石製薬
内用薬,ジアゼパム錠２ｍｇ「アメル」,共和薬品工業
内用薬,ジアゼパム錠２ｍｇ「ツルハラ」,鶴原製薬
内用薬,ジアゼパム錠２ｍｇ「タイホウ」,大鵬薬品工業
内用薬,５ｍｇセルシン錠,武田テバ薬品
内用薬,ジアゼパム錠５「トーワ」,東和薬品
内用薬,ジアパックス錠５ｍｇ,大鵬薬品工業
内用薬,ホリゾン錠５ｍｇ,丸石製薬
内用薬,ジアゼパム錠５ｍｇ「アメル」,共和薬品工業
内用薬,ジアゼパム錠５ｍｇ「ツルハラ」,鶴原製薬
内用薬,ジアゼパム錠５ｍｇ「タイホウ」,大鵬薬品工業
内用薬,１０ｍｇセルシン錠,武田テバ薬品
内用薬,ジアゼパム錠１０ｍｇ「ツルハラ」,鶴原製薬
内用薬,セルシンシロップ０．１％,武田テバ薬品
内用薬,エリスパン錠０．２５ｍｇ,大日本住友製薬
内用薬,ブロマゼパム１％細粒,
内用薬,レキソタン細粒１％,サンドファーマ
内用薬,ブロマゼパム１ｍｇ錠,
内用薬,レキソタン錠１,サンドファーマ
内用薬,ブロマゼパム２ｍｇ錠,
内用薬,レキソタン錠２,サンドファーマ
内用薬,ブロマゼパム３ｍｇ錠,
内用薬,ブロマゼパム５ｍｇ錠,
内用薬,レキソタン錠５,サンドファーマ
内用薬,メダゼパム錠２（ツルハラ）,鶴原製薬
内用薬,レスミット錠２,共和薬品工業
内用薬,メダゼパム錠５（ツルハラ）,鶴原製薬
内用薬,レスミット錠５,共和薬品工業
内用薬,ロラゼパム０．５ｍｇ錠,
内用薬,ワイパックス錠０．５,ファイザー
内用薬,ロラゼパム１ｍｇ錠,
