日時,カテゴリー,判定,問題文,自分の回答,正解
2026-02-21 13:31:28,調剤室業務,正解,調剤した薬剤の数と薬袋の印字数が一致しているか、ダブルチェックを行う。,〇,〇
2026-02-21 13:31:30,調剤室業務,正解,麻薬の処方箋は、調剤後2年間保存しなければならない。,〇,〇
2026-02-21 13:31:31,調剤室業務,正解,水剤ボトルの目盛りは、水平な場所で目線を合わせて確認する。,〇,〇
2026-02-21 13:31:32,調剤室業務,正解,使用済みの処方箋は、シュレッダーにかけるか溶解処理する。,〇,〇
2026-02-21 13:31:34,調剤室業務,正解,毒薬は鍵をかけた保管庫に貯蔵しなければならない。,〇,〇
2026-02-21 13:31:35,調剤室業務,正解,水剤の調剤で、複数のシロップを混ぜる場合は、よく振ってから容器に入れる。,〇,〇
2026-02-21 13:31:37,調剤室業務,正解,システムで「禁忌」のアラートが出た場合、処方医に確認するまで調剤を保留する。,〇,〇
2026-02-21 13:31:39,調剤室業務,正解,プリンタのトナーが薄くなった場合、振って使い切るのではなく直ちに交換する。,〇,〇
2026-02-21 13:31:40,調剤室業務,正解,軟膏の容器を再利用（患者が持ってきた古い容器に詰める）することは原則禁止である。,〇,〇
2026-02-21 13:31:41,調剤室業務,正解,劇薬の保管棚が施錠されていない場合は、速やかに管理者に報告し改善する。,〇,〇
2026-02-21 13:31:53,調剤室業務,正解,調剤した薬剤の数と薬袋の印字数が一致しているか、ダブルチェックを行う。,〇,〇
2026-02-21 13:31:55,調剤室業務,正解,麻薬の処方箋は、調剤後2年間保存しなければならない。,〇,〇
2026-02-21 13:31:56,調剤室業務,正解,水剤ボトルの目盛りは、水平な場所で目線を合わせて確認する。,〇,〇
2026-02-21 13:31:57,調剤室業務,正解,使用済みの処方箋は、シュレッダーにかけるか溶解処理する。,〇,〇
2026-02-21 13:31:59,調剤室業務,正解,毒薬は鍵をかけた保管庫に貯蔵しなければならない。,〇,〇
2026-02-21 13:32:01,調剤室業務,正解,水剤の調剤で、複数のシロップを混ぜる場合は、よく振ってから容器に入れる。,〇,〇
2026-02-21 13:32:02,調剤室業務,正解,システムで「禁忌」のアラートが出た場合、処方医に確認するまで調剤を保留する。,〇,〇
2026-02-21 13:32:04,調剤室業務,正解,プリンタのトナーが薄くなった場合、振って使い切るのではなく直ちに交換する。,〇,〇
2026-02-21 13:32:05,調剤室業務,正解,軟膏の容器を再利用（患者が持ってきた古い容器に詰める）することは原則禁止である。,〇,〇
2026-02-21 13:32:06,調剤室業務,正解,劇薬の保管棚が施錠されていない場合は、速やかに管理者に報告し改善する。,〇,〇
