カテゴリ,項目,習得度,最終更新
調剤室業務,処方箋の「種類」について説明できる,4,2026-02-21
調剤室業務,処方箋の「表記事項」を漏れなく確認できる,1,2026-02-21
調剤室業務,処方箋の各種「記号」の意味を正しく判別できる,1,2026-02-21
調剤室業務,処方箋に印字される「検査値」の内容を説明できる,1,2026-02-21
調剤室業務,処方箋の「薬剤附随コメント」を確認し適切に操作できる,1,2026-02-21
調剤室業務,処方箋に使用する「押印の種類」を説明できる,1,2026-02-21
調剤室業務,処方箋の適切な「押印の箇所」に印を押せる,1,2026-02-21
調剤室業務,薬袋の作成ルールや記載事項について説明できる,1,2026-02-21
調剤室業務,調剤の基本的な心得と動作を実践できる,1,2026-02-21
調剤室業務,処方監査の原則を理解しシステムを用いた監査を行える,1,2026-02-21
調剤室業務,処方修正の共通ルールを説明し正しく操作できる,1,2026-02-21
調剤室業務,処方修正において「入院処方の修正」を行える,1,2026-02-21
調剤室業務,処方修正において「入院処方の削除」を行える,1,2026-02-21
調剤室業務,処方修正において「外来処方（院内）の修正」を行える,1,2026-02-21
調剤室業務,処方修正において「外来処方（院内）の削除」を行える,1,2026-02-21
調剤室業務,処方修正において「外来処方（院外）の削除」を行える,1,2026-02-21
調剤室業務,処方修正において「外来処方（院外）の修正」を行える,1,2026-02-21
調剤室業務,処方修正において「外来処方（院外）の疑義照会事前同意に基づく修正」を行える,1,2026-02-21
調剤室業務,処方修正において「研修医の処方修正・削除」の手順を遵守できる,1,2026-02-21
調剤室業務,計数調剤（内服）の細則を理解し取り揃えを行える,1,2026-02-21
調剤室業務,計数調剤（外用）の「調剤手順」を遵守し調製を行える,1,2026-02-21
調剤室業務,計数調剤（外用）の「各種細則」を説明できる,1,2026-02-21
調剤室業務,F-WAVEの「起動・ログイン」操作を行える,1,2026-02-21
調剤室業務,F-WAVEを用いて「計数調剤」の認証を行える,1,2026-02-21
調剤室業務,F-WAVEで「調剤棚への薬品補充および返却」の登録を行える,1,2026-02-21
調剤室業務,F-WAVEの「簡易チェック」機能を活用できる,1,2026-02-21
調剤室業務,F-WAVEの「終了時」の処理を正しく行える,1,2026-02-21
調剤室業務,散剤の「調剤手順」を説明し正確に秤量できる,1,2026-02-21
調剤室業務,散剤の「賦形」の方法を説明し実施できる,1,2026-02-21
調剤室業務,散剤の「組み合わせ散剤」の調製を行える,1,2026-02-21
調剤室業務,散剤の分包機使用後の「洗い」を適切に行える,1,2026-02-21
調剤室業務,散剤の「経腸栄養剤」の調製手順を説明できる,1,2026-02-21
調剤室業務,散剤の「予製」のルールを理解し活用できる,1,2026-02-21
調剤室業務,粉砕（錠剤・カプセル）の注意事項を理解し粉砕調剤を行える,1,2026-02-21
調剤室業務,簡易懸濁の適否判断と調剤を正しく行える,1,2026-02-21
調剤室業務,水剤調剤の計量規定や保存ルールを遵守して調剤を行える,1,2026-02-21
調剤室業務,錠剤分包機による調剤の手順を説明し起動・操作を行える,1,2026-02-21
調剤室業務,Xana-UF（錠剤分包機）の補充ルールを遵守しカセット操作を行える,1,2026-02-21
調剤室業務,ワインダー使用方法を理解し分包紙の巻き取りを行える,1,2026-02-21
調剤室業務,MDM（一包化鑑査システム）を用いて全包検品および修正操作を行える,1,2026-02-21
調剤室業務,調剤監査の最終確認項目を理解し照合を行える,1,2026-02-21
調剤室業務,麻薬調剤の「調剤・鑑査の基本」を説明できる,1,2026-02-21
調剤室業務,麻薬調剤における「処方の妥当性」を判断できる,1,2026-02-21
調剤室業務,麻薬調剤の「麻薬の金庫管理」を厳密に行える,1,2026-02-21
調剤室業務,麻薬調剤の「システムの使い方」を説明し操作できる,1,2026-02-21
調剤室業務,麻薬調剤の「麻薬払い出し時の基本」動作を実践できる,1,2026-02-21
調剤室業務,麻薬調剤の「麻薬調剤時の修正方法」を説明できる,1,2026-02-21
